Sector,Category,SubCategory,Scenario_Name,Description,Current_Spend_USD,Projected_Savings_Pct,Projected_Savings_USD,Risk_Reduction_Pct,Implementation_Complexity,Timeline_Months
Construction & Real Estate,Building Materials,Cement,Aggressive Diversification,Reduce top supplier share to <30%,18205600,15,2730840.0,25,High,6
Construction & Real Estate,Building Materials,Cement,Moderate Diversification,Reduce top supplier share to <40%,18205600,10,1820560.0,15,Low,8
Construction & Real Estate,Building Materials,Cement,Regional Expansion,Add Africa/Middle East suppliers,18205600,12,2184672.0,20,Medium,4
Construction & Real Estate,Building Materials,Cement,Cost Optimization,Shift 20% spend to low-cost regions,18205600,8,1456448.0,12,Medium,7
Construction & Real Estate,Building Materials,Cement,Risk Mitigation,Dual-source all critical categories,18205600,5,910280.0,18,High,7
Construction & Real Estate,Building Materials,Concrete,Aggressive Diversification,Reduce top supplier share to <30%,14236000,15,2135400.0,25,Low,11
Construction & Real Estate,Building Materials,Concrete,Moderate Diversification,Reduce top supplier share to <40%,14236000,10,1423600.0,15,Medium,11
Construction & Real Estate,Building Materials,Concrete,Regional Expansion,Add Africa/Middle East suppliers,14236000,12,1708320.0,20,High,10
Construction & Real Estate,Building Materials,Concrete,Cost Optimization,Shift 20% spend to low-cost regions,14236000,8,1138880.0,12,Medium,3
Construction & Real Estate,Building Materials,Concrete,Risk Mitigation,Dual-source all critical categories,14236000,5,711800.0,18,Medium,6
Construction & Real Estate,Building Materials,Glass,Aggressive Diversification,Reduce top supplier share to <30%,14154600,15,2123190.0,25,Medium,11
Construction & Real Estate,Building Materials,Glass,Moderate Diversification,Reduce top supplier share to <40%,14154600,10,1415460.0,15,Low,4
Construction & Real Estate,Building Materials,Glass,Regional Expansion,Add Africa/Middle East suppliers,14154600,12,1698552.0,20,Low,11
Construction & Real Estate,Building Materials,Glass,Cost Optimization,Shift 20% spend to low-cost regions,14154600,8,1132368.0,12,High,3
Construction & Real Estate,Building Materials,Glass,Risk Mitigation,Dual-source all critical categories,14154600,5,707730.0,18,High,4
Construction & Real Estate,Building Materials,Lumber,Aggressive Diversification,Reduce top supplier share to <30%,20785600,15,3117840.0,25,Low,6
Construction & Real Estate,Building Materials,Lumber,Moderate Diversification,Reduce top supplier share to <40%,20785600,10,2078560.0,15,High,9
Construction & Real Estate,Building Materials,Lumber,Regional Expansion,Add Africa/Middle East suppliers,20785600,12,2494272.0,20,Low,6
Construction & Real Estate,Building Materials,Lumber,Cost Optimization,Shift 20% spend to low-cost regions,20785600,8,1662848.0,12,High,9
Construction & Real Estate,Building Materials,Lumber,Risk Mitigation,Dual-source all critical categories,20785600,5,1039280.0,18,High,4
Construction & Real Estate,Building Materials,Structural Steel,Aggressive Diversification,Reduce top supplier share to <30%,18185600,15,2727840.0,25,High,5
Construction & Real Estate,Building Materials,Structural Steel,Moderate Diversification,Reduce top supplier share to <40%,18185600,10,1818560.0,15,Low,10
Construction & Real Estate,Building Materials,Structural Steel,Regional Expansion,Add Africa/Middle East suppliers,18185600,12,2182272.0,20,High,8
Construction & Real Estate,Building Materials,Structural Steel,Cost Optimization,Shift 20% spend to low-cost regions,18185600,8,1454848.0,12,Low,4
Construction & Real Estate,Building Materials,Structural Steel,Risk Mitigation,Dual-source all critical categories,18185600,5,909280.0,18,Low,3
Construction & Real Estate,Construction Equipment,Heavy Equipment,Aggressive Diversification,Reduce top supplier share to <30%,8122300,15,1218345.0,25,Low,7
Construction & Real Estate,Construction Equipment,Heavy Equipment,Moderate Diversification,Reduce top supplier share to <40%,8122300,10,812230.0,15,High,4
Construction & Real Estate,Construction Equipment,Heavy Equipment,Regional Expansion,Add Africa/Middle East suppliers,8122300,12,974676.0,20,High,6
Construction & Real Estate,Construction Equipment,Heavy Equipment,Cost Optimization,Shift 20% spend to low-cost regions,8122300,8,649784.0,12,Medium,9
Construction & Real Estate,Construction Equipment,Heavy Equipment,Risk Mitigation,Dual-source all critical categories,8122300,5,406115.0,18,Medium,10
Construction & Real Estate,Construction Equipment,Power Tools,Aggressive Diversification,Reduce top supplier share to <30%,9423700,15,1413555.0,25,High,9
Construction & Real Estate,Construction Equipment,Power Tools,Moderate Diversification,Reduce top supplier share to <40%,9423700,10,942370.0,15,Medium,8
Construction & Real Estate,Construction Equipment,Power Tools,Regional Expansion,Add Africa/Middle East suppliers,9423700,12,1130844.0,20,Low,9
Construction & Real Estate,Construction Equipment,Power Tools,Cost Optimization,Shift 20% spend to low-cost regions,9423700,8,753896.0,12,High,4
Construction & Real Estate,Construction Equipment,Power Tools,Risk Mitigation,Dual-source all critical categories,9423700,5,471185.0,18,High,3
Construction & Real Estate,Construction Equipment,Scaffolding,Aggressive Diversification,Reduce top supplier share to <30%,7021300,15,1053195.0,25,High,12
Construction & Real Estate,Construction Equipment,Scaffolding,Moderate Diversification,Reduce top supplier share to <40%,7021300,10,702130.0,15,Low,12
Construction & Real Estate,Construction Equipment,Scaffolding,Regional Expansion,Add Africa/Middle East suppliers,7021300,12,842556.0,20,Low,4
Construction & Real Estate,Construction Equipment,Scaffolding,Cost Optimization,Shift 20% spend to low-cost regions,7021300,8,561704.0,12,Medium,11
Construction & Real Estate,Construction Equipment,Scaffolding,Risk Mitigation,Dual-source all critical categories,7021300,5,351065.0,18,Low,7
Construction & Real Estate,MEP Systems,Electrical Systems,Aggressive Diversification,Reduce top supplier share to <30%,4264000,15,639600.0,25,High,7
Construction & Real Estate,MEP Systems,Electrical Systems,Moderate Diversification,Reduce top supplier share to <40%,4264000,10,426400.0,15,High,4
Construction & Real Estate,MEP Systems,Electrical Systems,Regional Expansion,Add Africa/Middle East suppliers,4264000,12,511680.0,20,Medium,10
Construction & Real Estate,MEP Systems,Electrical Systems,Cost Optimization,Shift 20% spend to low-cost regions,4264000,8,341120.0,12,Medium,9
Construction & Real Estate,MEP Systems,Electrical Systems,Risk Mitigation,Dual-source all critical categories,4264000,5,213200.0,18,High,3
Construction & Real Estate,MEP Systems,HVAC Equipment,Aggressive Diversification,Reduce top supplier share to <30%,9076700,15,1361505.0,25,Medium,5
Construction & Real Estate,MEP Systems,HVAC Equipment,Moderate Diversification,Reduce top supplier share to <40%,9076700,10,907670.0,15,High,6
Construction & Real Estate,MEP Systems,HVAC Equipment,Regional Expansion,Add Africa/Middle East suppliers,9076700,12,1089204.0,20,Low,9
Construction & Real Estate,MEP Systems,HVAC Equipment,Cost Optimization,Shift 20% spend to low-cost regions,9076700,8,726136.0,12,High,7
Construction & Real Estate,MEP Systems,HVAC Equipment,Risk Mitigation,Dual-source all critical categories,9076700,5,453835.0,18,High,5
Construction & Real Estate,MEP Systems,Plumbing Systems,Aggressive Diversification,Reduce top supplier share to <30%,5573900,15,836085.0,25,Medium,8
Construction & Real Estate,MEP Systems,Plumbing Systems,Moderate Diversification,Reduce top supplier share to <40%,5573900,10,557390.0,15,Low,11
Construction & Real Estate,MEP Systems,Plumbing Systems,Regional Expansion,Add Africa/Middle East suppliers,5573900,12,668868.0,20,High,5
Construction & Real Estate,MEP Systems,Plumbing Systems,Cost Optimization,Shift 20% spend to low-cost regions,5573900,8,445912.0,12,Low,3
Construction & Real Estate,MEP Systems,Plumbing Systems,Risk Mitigation,Dual-source all critical categories,5573900,5,278695.0,18,Low,12
Energy & Utilities,Electricity,Backup Power,Aggressive Diversification,Reduce top supplier share to <30%,14191600,15,2128740.0,25,High,9
Energy & Utilities,Electricity,Backup Power,Moderate Diversification,Reduce top supplier share to <40%,14191600,10,1419160.0,15,High,11
Energy & Utilities,Electricity,Backup Power,Regional Expansion,Add Africa/Middle East suppliers,14191600,12,1702992.0,20,Low,7
Energy & Utilities,Electricity,Backup Power,Cost Optimization,Shift 20% spend to low-cost regions,14191600,8,1135328.0,12,Low,8
Energy & Utilities,Electricity,Backup Power,Risk Mitigation,Dual-source all critical categories,14191600,5,709580.0,18,Low,9
Energy & Utilities,Electricity,Grid Electricity,Aggressive Diversification,Reduce top supplier share to <30%,18192600,15,2728890.0,25,High,11
Energy & Utilities,Electricity,Grid Electricity,Moderate Diversification,Reduce top supplier share to <40%,18192600,10,1819260.0,15,Low,5
Energy & Utilities,Electricity,Grid Electricity,Regional Expansion,Add Africa/Middle East suppliers,18192600,12,2183112.0,20,Low,6
Energy & Utilities,Electricity,Grid Electricity,Cost Optimization,Shift 20% spend to low-cost regions,18192600,8,1455408.0,12,High,7
Energy & Utilities,Electricity,Grid Electricity,Risk Mitigation,Dual-source all critical categories,18192600,5,909630.0,18,Low,4
Energy & Utilities,Electricity,Renewable Electricity,Aggressive Diversification,Reduce top supplier share to <30%,13379100,15,2006865.0,25,Low,12
Energy & Utilities,Electricity,Renewable Electricity,Moderate Diversification,Reduce top supplier share to <40%,13379100,10,1337910.0,15,Low,11
Energy & Utilities,Electricity,Renewable Electricity,Regional Expansion,Add Africa/Middle East suppliers,13379100,12,1605492.0,20,Medium,11
Energy & Utilities,Electricity,Renewable Electricity,Cost Optimization,Shift 20% spend to low-cost regions,13379100,8,1070328.0,12,Low,7
Energy & Utilities,Electricity,Renewable Electricity,Risk Mitigation,Dual-source all critical categories,13379100,5,668955.0,18,High,4
Energy & Utilities,Fuels,Aviation Fuel,Aggressive Diversification,Reduce top supplier share to <30%,9139900,15,1370985.0,25,Medium,4
Energy & Utilities,Fuels,Aviation Fuel,Moderate Diversification,Reduce top supplier share to <40%,9139900,10,913990.0,15,Low,12
Energy & Utilities,Fuels,Aviation Fuel,Regional Expansion,Add Africa/Middle East suppliers,9139900,12,1096788.0,20,Medium,8
Energy & Utilities,Fuels,Aviation Fuel,Cost Optimization,Shift 20% spend to low-cost regions,9139900,8,731192.0,12,Medium,5
Energy & Utilities,Fuels,Aviation Fuel,Risk Mitigation,Dual-source all critical categories,9139900,5,456995.0,18,High,6
Energy & Utilities,Fuels,Biofuels,Aggressive Diversification,Reduce top supplier share to <30%,6989600,15,1048440.0,25,Low,7
Energy & Utilities,Fuels,Biofuels,Moderate Diversification,Reduce top supplier share to <40%,6989600,10,698960.0,15,High,4
Energy & Utilities,Fuels,Biofuels,Regional Expansion,Add Africa/Middle East suppliers,6989600,12,838752.0,20,Low,8
Energy & Utilities,Fuels,Biofuels,Cost Optimization,Shift 20% spend to low-cost regions,6989600,8,559168.0,12,Medium,10
Energy & Utilities,Fuels,Biofuels,Risk Mitigation,Dual-source all critical categories,6989600,5,349480.0,18,Medium,12
Energy & Utilities,Fuels,Diesel,Aggressive Diversification,Reduce top supplier share to <30%,5074900,15,761235.0,25,High,7
Energy & Utilities,Fuels,Diesel,Moderate Diversification,Reduce top supplier share to <40%,5074900,10,507490.0,15,High,12
Energy & Utilities,Fuels,Diesel,Regional Expansion,Add Africa/Middle East suppliers,5074900,12,608988.0,20,Low,12
Energy & Utilities,Fuels,Diesel,Cost Optimization,Shift 20% spend to low-cost regions,5074900,8,405992.0,12,High,8
Energy & Utilities,Fuels,Diesel,Risk Mitigation,Dual-source all critical categories,5074900,5,253745.0,18,Medium,9
Energy & Utilities,Fuels,Natural Gas,Aggressive Diversification,Reduce top supplier share to <30%,9402100,15,1410315.0,25,Low,3
Energy & Utilities,Fuels,Natural Gas,Moderate Diversification,Reduce top supplier share to <40%,9402100,10,940210.0,15,Medium,6
Energy & Utilities,Fuels,Natural Gas,Regional Expansion,Add Africa/Middle East suppliers,9402100,12,1128252.0,20,Low,9
Energy & Utilities,Fuels,Natural Gas,Cost Optimization,Shift 20% spend to low-cost regions,9402100,8,752168.0,12,Medium,8
Energy & Utilities,Fuels,Natural Gas,Risk Mitigation,Dual-source all critical categories,9402100,5,470105.0,18,Low,8
Energy & Utilities,Renewable Equipment,Battery Storage,Aggressive Diversification,Reduce top supplier share to <30%,11434800,15,1715220.0,25,Medium,10
Energy & Utilities,Renewable Equipment,Battery Storage,Moderate Diversification,Reduce top supplier share to <40%,11434800,10,1143480.0,15,Medium,8
Energy & Utilities,Renewable Equipment,Battery Storage,Regional Expansion,Add Africa/Middle East suppliers,11434800,12,1372176.0,20,Medium,10
Energy & Utilities,Renewable Equipment,Battery Storage,Cost Optimization,Shift 20% spend to low-cost regions,11434800,8,914784.0,12,High,4
Energy & Utilities,Renewable Equipment,Battery Storage,Risk Mitigation,Dual-source all critical categories,11434800,5,571740.0,18,Low,12
Energy & Utilities,Renewable Equipment,Solar Panels,Aggressive Diversification,Reduce top supplier share to <30%,9734000,15,1460100.0,25,Low,7
Energy & Utilities,Renewable Equipment,Solar Panels,Moderate Diversification,Reduce top supplier share to <40%,9734000,10,973400.0,15,Low,11
Energy & Utilities,Renewable Equipment,Solar Panels,Regional Expansion,Add Africa/Middle East suppliers,9734000,12,1168080.0,20,Low,7
Energy & Utilities,Renewable Equipment,Solar Panels,Cost Optimization,Shift 20% spend to low-cost regions,9734000,8,778720.0,12,High,4
Energy & Utilities,Renewable Equipment,Solar Panels,Risk Mitigation,Dual-source all critical categories,9734000,5,486700.0,18,High,4
Energy & Utilities,Renewable Equipment,Wind Turbines,Aggressive Diversification,Reduce top supplier share to <30%,10556600,15,1583490.0,25,Low,11
Energy & Utilities,Renewable Equipment,Wind Turbines,Moderate Diversification,Reduce top supplier share to <40%,10556600,10,1055660.0,15,High,3
Energy & Utilities,Renewable Equipment,Wind Turbines,Regional Expansion,Add Africa/Middle East suppliers,10556600,12,1266792.0,20,High,12
Energy & Utilities,Renewable Equipment,Wind Turbines,Cost Optimization,Shift 20% spend to low-cost regions,10556600,8,844528.0,12,Medium,12
Energy & Utilities,Renewable Equipment,Wind Turbines,Risk Mitigation,Dual-source all critical categories,10556600,5,527830.0,18,Low,3
Facilities & Corporate Services,Facilities Management,Building Maintenance,Aggressive Diversification,Reduce top supplier share to <30%,7125800,15,1068870.0,25,High,7
Facilities & Corporate Services,Facilities Management,Building Maintenance,Moderate Diversification,Reduce top supplier share to <40%,7125800,10,712580.0,15,High,11
Facilities & Corporate Services,Facilities Management,Building Maintenance,Regional Expansion,Add Africa/Middle East suppliers,7125800,12,855096.0,20,Medium,5
Facilities & Corporate Services,Facilities Management,Building Maintenance,Cost Optimization,Shift 20% spend to low-cost regions,7125800,8,570064.0,12,Medium,9
Facilities & Corporate Services,Facilities Management,Building Maintenance,Risk Mitigation,Dual-source all critical categories,7125800,5,356290.0,18,Low,12
Facilities & Corporate Services,Facilities Management,Cleaning Services,Aggressive Diversification,Reduce top supplier share to <30%,7279600,15,1091940.0,25,High,7
Facilities & Corporate Services,Facilities Management,Cleaning Services,Moderate Diversification,Reduce top supplier share to <40%,7279600,10,727960.0,15,Low,10
Facilities & Corporate Services,Facilities Management,Cleaning Services,Regional Expansion,Add Africa/Middle East suppliers,7279600,12,873552.0,20,High,11
Facilities & Corporate Services,Facilities Management,Cleaning Services,Cost Optimization,Shift 20% spend to low-cost regions,7279600,8,582368.0,12,Low,9
Facilities & Corporate Services,Facilities Management,Cleaning Services,Risk Mitigation,Dual-source all critical categories,7279600,5,363980.0,18,Medium,11
Facilities & Corporate Services,Facilities Management,Security Services,Aggressive Diversification,Reduce top supplier share to <30%,5471500,15,820725.0,25,Low,6
Facilities & Corporate Services,Facilities Management,Security Services,Moderate Diversification,Reduce top supplier share to <40%,5471500,10,547150.0,15,High,5
Facilities & Corporate Services,Facilities Management,Security Services,Regional Expansion,Add Africa/Middle East suppliers,5471500,12,656580.0,20,High,5
Facilities & Corporate Services,Facilities Management,Security Services,Cost Optimization,Shift 20% spend to low-cost regions,5471500,8,437720.0,12,Medium,5
Facilities & Corporate Services,Facilities Management,Security Services,Risk Mitigation,Dual-source all critical categories,5471500,5,273575.0,18,Low,12
Facilities & Corporate Services,Office Services,Office Furniture,Aggressive Diversification,Reduce top supplier share to <30%,4134400,15,620160.0,25,High,5
Facilities & Corporate Services,Office Services,Office Furniture,Moderate Diversification,Reduce top supplier share to <40%,4134400,10,413440.0,15,High,10
Facilities & Corporate Services,Office Services,Office Furniture,Regional Expansion,Add Africa/Middle East suppliers,4134400,12,496128.0,20,Medium,3
Facilities & Corporate Services,Office Services,Office Furniture,Cost Optimization,Shift 20% spend to low-cost regions,4134400,8,330752.0,12,Low,10
Facilities & Corporate Services,Office Services,Office Furniture,Risk Mitigation,Dual-source all critical categories,4134400,5,206720.0,18,Low,4
Facilities & Corporate Services,Office Services,Office Supplies,Aggressive Diversification,Reduce top supplier share to <30%,7616800,15,1142520.0,25,Medium,8
Facilities & Corporate Services,Office Services,Office Supplies,Moderate Diversification,Reduce top supplier share to <40%,7616800,10,761680.0,15,Low,3
Facilities & Corporate Services,Office Services,Office Supplies,Regional Expansion,Add Africa/Middle East suppliers,7616800,12,914016.0,20,High,6
Facilities & Corporate Services,Office Services,Office Supplies,Cost Optimization,Shift 20% spend to low-cost regions,7616800,8,609344.0,12,High,8
Facilities & Corporate Services,Office Services,Office Supplies,Risk Mitigation,Dual-source all critical categories,7616800,5,380840.0,18,Medium,10
Facilities & Corporate Services,Office Services,Printing Services,Aggressive Diversification,Reduce top supplier share to <30%,9984560,15,1497684.0,25,Medium,3
Facilities & Corporate Services,Office Services,Printing Services,Moderate Diversification,Reduce top supplier share to <40%,9984560,10,998456.0,15,Low,8
Facilities & Corporate Services,Office Services,Printing Services,Regional Expansion,Add Africa/Middle East suppliers,9984560,12,1198147.2,20,Low,11
Facilities & Corporate Services,Office Services,Printing Services,Cost Optimization,Shift 20% spend to low-cost regions,9984560,8,798764.8,12,High,7
Facilities & Corporate Services,Office Services,Printing Services,Risk Mitigation,Dual-source all critical categories,9984560,5,499228.0,18,High,7
Facilities & Corporate Services,Travel & Events,Business Travel,Aggressive Diversification,Reduce top supplier share to <30%,9396500,15,1409475.0,25,High,11
Facilities & Corporate Services,Travel & Events,Business Travel,Moderate Diversification,Reduce top supplier share to <40%,9396500,10,939650.0,15,High,5
Facilities & Corporate Services,Travel & Events,Business Travel,Regional Expansion,Add Africa/Middle East suppliers,9396500,12,1127580.0,20,Medium,9
Facilities & Corporate Services,Travel & Events,Business Travel,Cost Optimization,Shift 20% spend to low-cost regions,9396500,8,751720.0,12,Medium,12
Facilities & Corporate Services,Travel & Events,Business Travel,Risk Mitigation,Dual-source all critical categories,9396500,5,469825.0,18,High,4
Facilities & Corporate Services,Travel & Events,Event Management,Aggressive Diversification,Reduce top supplier share to <30%,5317200,15,797580.0,25,High,7
Facilities & Corporate Services,Travel & Events,Event Management,Moderate Diversification,Reduce top supplier share to <40%,5317200,10,531720.0,15,Medium,6
Facilities & Corporate Services,Travel & Events,Event Management,Regional Expansion,Add Africa/Middle East suppliers,5317200,12,638064.0,20,High,9
Facilities & Corporate Services,Travel & Events,Event Management,Cost Optimization,Shift 20% spend to low-cost regions,5317200,8,425376.0,12,Medium,8
Facilities & Corporate Services,Travel & Events,Event Management,Risk Mitigation,Dual-source all critical categories,5317200,5,265860.0,18,Medium,10
Food & Beverages,Beverages,Coffee,Aggressive Diversification,Reduce top supplier share to <30%,11612200,15,1741830.0,25,High,3
Food & Beverages,Beverages,Coffee,Moderate Diversification,Reduce top supplier share to <40%,11612200,10,1161220.0,15,High,5
Food & Beverages,Beverages,Coffee,Regional Expansion,Add Africa/Middle East suppliers,11612200,12,1393464.0,20,Medium,5
Food & Beverages,Beverages,Coffee,Cost Optimization,Shift 20% spend to low-cost regions,11612200,8,928976.0,12,Low,4
Food & Beverages,Beverages,Coffee,Risk Mitigation,Dual-source all critical categories,11612200,5,580610.0,18,High,7
Food & Beverages,Beverages,Tea,Aggressive Diversification,Reduce top supplier share to <30%,4854900,15,728235.0,25,Low,5
Food & Beverages,Beverages,Tea,Moderate Diversification,Reduce top supplier share to <40%,4854900,10,485490.0,15,Low,5
Food & Beverages,Beverages,Tea,Regional Expansion,Add Africa/Middle East suppliers,4854900,12,582588.0,20,Medium,12
Food & Beverages,Beverages,Tea,Cost Optimization,Shift 20% spend to low-cost regions,4854900,8,388392.0,12,High,4
Food & Beverages,Beverages,Tea,Risk Mitigation,Dual-source all critical categories,4854900,5,242745.0,18,High,6
Food & Beverages,Dairy Products,Cheese,Aggressive Diversification,Reduce top supplier share to <30%,9042200,15,1356330.0,25,Medium,8
Food & Beverages,Dairy Products,Cheese,Moderate Diversification,Reduce top supplier share to <40%,9042200,10,904220.0,15,High,4
Food & Beverages,Dairy Products,Cheese,Regional Expansion,Add Africa/Middle East suppliers,9042200,12,1085064.0,20,Medium,10
Food & Beverages,Dairy Products,Cheese,Cost Optimization,Shift 20% spend to low-cost regions,9042200,8,723376.0,12,Medium,6
Food & Beverages,Dairy Products,Cheese,Risk Mitigation,Dual-source all critical categories,9042200,5,452110.0,18,High,5
Food & Beverages,Dairy Products,Milk & Cream,Aggressive Diversification,Reduce top supplier share to <30%,10576300,15,1586445.0,25,High,9
Food & Beverages,Dairy Products,Milk & Cream,Moderate Diversification,Reduce top supplier share to <40%,10576300,10,1057630.0,15,Low,6
Food & Beverages,Dairy Products,Milk & Cream,Regional Expansion,Add Africa/Middle East suppliers,10576300,12,1269156.0,20,Low,5
Food & Beverages,Dairy Products,Milk & Cream,Cost Optimization,Shift 20% spend to low-cost regions,10576300,8,846104.0,12,High,12
Food & Beverages,Dairy Products,Milk & Cream,Risk Mitigation,Dual-source all critical categories,10576300,5,528815.0,18,Low,5
Food & Beverages,Edible Oils,Canola Oil,Aggressive Diversification,Reduce top supplier share to <30%,7483300,15,1122495.0,25,High,11
Food & Beverages,Edible Oils,Canola Oil,Moderate Diversification,Reduce top supplier share to <40%,7483300,10,748330.0,15,Low,12
Food & Beverages,Edible Oils,Canola Oil,Regional Expansion,Add Africa/Middle East suppliers,7483300,12,897996.0,20,Low,3
Food & Beverages,Edible Oils,Canola Oil,Cost Optimization,Shift 20% spend to low-cost regions,7483300,8,598664.0,12,Low,7
Food & Beverages,Edible Oils,Canola Oil,Risk Mitigation,Dual-source all critical categories,7483300,5,374165.0,18,Low,11
Food & Beverages,Edible Oils,Coconut Oil,Aggressive Diversification,Reduce top supplier share to <30%,8192500,15,1228875.0,25,Medium,12
Food & Beverages,Edible Oils,Coconut Oil,Moderate Diversification,Reduce top supplier share to <40%,8192500,10,819250.0,15,High,3
Food & Beverages,Edible Oils,Coconut Oil,Regional Expansion,Add Africa/Middle East suppliers,8192500,12,983100.0,20,High,7
Food & Beverages,Edible Oils,Coconut Oil,Cost Optimization,Shift 20% spend to low-cost regions,8192500,8,655400.0,12,Low,6
