Sector,Category,SubCategory,Scenario_Name,Description,Current_Spend_USD,Projected_Savings_Pct,Projected_Savings_USD,Risk_Reduction_Pct,Implementation_Complexity,Timeline_Months
Food & Beverages,Edible Oils,Coconut Oil,Risk Mitigation,Dual-source all critical categories,8192500,5,409625.0,18,Medium,12
Food & Beverages,Edible Oils,Olive Oil,Aggressive Diversification,Reduce top supplier share to <30%,8952300,15,1342845.0,25,Medium,10
Food & Beverages,Edible Oils,Olive Oil,Moderate Diversification,Reduce top supplier share to <40%,8952300,10,895230.0,15,Low,6
Food & Beverages,Edible Oils,Olive Oil,Regional Expansion,Add Africa/Middle East suppliers,8952300,12,1074276.0,20,Medium,12
Food & Beverages,Edible Oils,Olive Oil,Cost Optimization,Shift 20% spend to low-cost regions,8952300,8,716184.0,12,Low,12
Food & Beverages,Edible Oils,Olive Oil,Risk Mitigation,Dual-source all critical categories,8952300,5,447615.0,18,Low,12
Food & Beverages,Edible Oils,Palm Oil,Aggressive Diversification,Reduce top supplier share to <30%,8085000,15,1212750.0,25,High,11
Food & Beverages,Edible Oils,Palm Oil,Moderate Diversification,Reduce top supplier share to <40%,8085000,10,808500.0,15,Medium,5
Food & Beverages,Edible Oils,Palm Oil,Regional Expansion,Add Africa/Middle East suppliers,8085000,12,970200.0,20,High,8
Food & Beverages,Edible Oils,Palm Oil,Cost Optimization,Shift 20% spend to low-cost regions,8085000,8,646800.0,12,Medium,12
Food & Beverages,Edible Oils,Palm Oil,Risk Mitigation,Dual-source all critical categories,8085000,5,404250.0,18,High,4
Food & Beverages,Edible Oils,Peanut Oil,Aggressive Diversification,Reduce top supplier share to <30%,6233700,15,935055.0,25,Low,9
Food & Beverages,Edible Oils,Peanut Oil,Moderate Diversification,Reduce top supplier share to <40%,6233700,10,623370.0,15,Medium,5
Food & Beverages,Edible Oils,Peanut Oil,Regional Expansion,Add Africa/Middle East suppliers,6233700,12,748044.0,20,Low,3
Food & Beverages,Edible Oils,Peanut Oil,Cost Optimization,Shift 20% spend to low-cost regions,6233700,8,498696.0,12,Low,11
Food & Beverages,Edible Oils,Peanut Oil,Risk Mitigation,Dual-source all critical categories,6233700,5,311685.0,18,High,9
Food & Beverages,Edible Oils,Rice Bran Oil,Aggressive Diversification,Reduce top supplier share to <30%,8160300,15,1224045.0,25,Low,12
Food & Beverages,Edible Oils,Rice Bran Oil,Moderate Diversification,Reduce top supplier share to <40%,8160300,10,816030.0,15,Low,5
Food & Beverages,Edible Oils,Rice Bran Oil,Regional Expansion,Add Africa/Middle East suppliers,8160300,12,979236.0,20,Medium,12
Food & Beverages,Edible Oils,Rice Bran Oil,Cost Optimization,Shift 20% spend to low-cost regions,8160300,8,652824.0,12,High,3
Food & Beverages,Edible Oils,Rice Bran Oil,Risk Mitigation,Dual-source all critical categories,8160300,5,408015.0,18,High,11
Food & Beverages,Edible Oils,Soybean Oil,Aggressive Diversification,Reduce top supplier share to <30%,3504200,15,525630.0,25,Low,4
Food & Beverages,Edible Oils,Soybean Oil,Moderate Diversification,Reduce top supplier share to <40%,3504200,10,350420.0,15,Medium,5
Food & Beverages,Edible Oils,Soybean Oil,Regional Expansion,Add Africa/Middle East suppliers,3504200,12,420504.0,20,High,11
Food & Beverages,Edible Oils,Soybean Oil,Cost Optimization,Shift 20% spend to low-cost regions,3504200,8,280336.0,12,Low,9
Food & Beverages,Edible Oils,Soybean Oil,Risk Mitigation,Dual-source all critical categories,3504200,5,175210.0,18,High,9
Food & Beverages,Edible Oils,Sunflower Oil,Aggressive Diversification,Reduce top supplier share to <30%,6633300,15,994995.0,25,Medium,3
Food & Beverages,Edible Oils,Sunflower Oil,Moderate Diversification,Reduce top supplier share to <40%,6633300,10,663330.0,15,High,11
Food & Beverages,Edible Oils,Sunflower Oil,Regional Expansion,Add Africa/Middle East suppliers,6633300,12,795996.0,20,Medium,6
Food & Beverages,Edible Oils,Sunflower Oil,Cost Optimization,Shift 20% spend to low-cost regions,6633300,8,530664.0,12,Medium,9
Food & Beverages,Edible Oils,Sunflower Oil,Risk Mitigation,Dual-source all critical categories,6633300,5,331665.0,18,Medium,12
Food & Beverages,Grains & Cereals,Corn/Maize,Aggressive Diversification,Reduce top supplier share to <30%,10039100,15,1505865.0,25,High,12
Food & Beverages,Grains & Cereals,Corn/Maize,Moderate Diversification,Reduce top supplier share to <40%,10039100,10,1003910.0,15,Low,9
Food & Beverages,Grains & Cereals,Corn/Maize,Regional Expansion,Add Africa/Middle East suppliers,10039100,12,1204692.0,20,Low,7
Food & Beverages,Grains & Cereals,Corn/Maize,Cost Optimization,Shift 20% spend to low-cost regions,10039100,8,803128.0,12,Medium,6
Food & Beverages,Grains & Cereals,Corn/Maize,Risk Mitigation,Dual-source all critical categories,10039100,5,501955.0,18,Low,7
Food & Beverages,Grains & Cereals,Rice,Aggressive Diversification,Reduce top supplier share to <30%,8655500,15,1298325.0,25,High,11
Food & Beverages,Grains & Cereals,Rice,Moderate Diversification,Reduce top supplier share to <40%,8655500,10,865550.0,15,Medium,7
Food & Beverages,Grains & Cereals,Rice,Regional Expansion,Add Africa/Middle East suppliers,8655500,12,1038660.0,20,Low,3
Food & Beverages,Grains & Cereals,Rice,Cost Optimization,Shift 20% spend to low-cost regions,8655500,8,692440.0,12,High,3
Food & Beverages,Grains & Cereals,Rice,Risk Mitigation,Dual-source all critical categories,8655500,5,432775.0,18,High,11
Food & Beverages,Grains & Cereals,Wheat,Aggressive Diversification,Reduce top supplier share to <30%,7850600,15,1177590.0,25,Low,11
Food & Beverages,Grains & Cereals,Wheat,Moderate Diversification,Reduce top supplier share to <40%,7850600,10,785060.0,15,Low,9
Food & Beverages,Grains & Cereals,Wheat,Regional Expansion,Add Africa/Middle East suppliers,7850600,12,942072.0,20,High,6
Food & Beverages,Grains & Cereals,Wheat,Cost Optimization,Shift 20% spend to low-cost regions,7850600,8,628048.0,12,High,8
Food & Beverages,Grains & Cereals,Wheat,Risk Mitigation,Dual-source all critical categories,7850600,5,392530.0,18,Medium,8
Food & Beverages,Packaging Materials,Aluminum Cans,Aggressive Diversification,Reduce top supplier share to <30%,8886800,15,1333020.0,25,Low,5
Food & Beverages,Packaging Materials,Aluminum Cans,Moderate Diversification,Reduce top supplier share to <40%,8886800,10,888680.0,15,Medium,12
Food & Beverages,Packaging Materials,Aluminum Cans,Regional Expansion,Add Africa/Middle East suppliers,8886800,12,1066416.0,20,Medium,7
Food & Beverages,Packaging Materials,Aluminum Cans,Cost Optimization,Shift 20% spend to low-cost regions,8886800,8,710944.0,12,High,9
Food & Beverages,Packaging Materials,Aluminum Cans,Risk Mitigation,Dual-source all critical categories,8886800,5,444340.0,18,High,8
Food & Beverages,Packaging Materials,Food-Grade Plastics,Aggressive Diversification,Reduce top supplier share to <30%,12328400,15,1849260.0,25,High,7
Food & Beverages,Packaging Materials,Food-Grade Plastics,Moderate Diversification,Reduce top supplier share to <40%,12328400,10,1232840.0,15,High,9
Food & Beverages,Packaging Materials,Food-Grade Plastics,Regional Expansion,Add Africa/Middle East suppliers,12328400,12,1479408.0,20,Low,9
Food & Beverages,Packaging Materials,Food-Grade Plastics,Cost Optimization,Shift 20% spend to low-cost regions,12328400,8,986272.0,12,High,11
Food & Beverages,Packaging Materials,Food-Grade Plastics,Risk Mitigation,Dual-source all critical categories,12328400,5,616420.0,18,Medium,5
Food & Beverages,Packaging Materials,Glass Containers,Aggressive Diversification,Reduce top supplier share to <30%,6611800,15,991770.0,25,Medium,11
Food & Beverages,Packaging Materials,Glass Containers,Moderate Diversification,Reduce top supplier share to <40%,6611800,10,661180.0,15,High,10
Food & Beverages,Packaging Materials,Glass Containers,Regional Expansion,Add Africa/Middle East suppliers,6611800,12,793416.0,20,Medium,7
Food & Beverages,Packaging Materials,Glass Containers,Cost Optimization,Shift 20% spend to low-cost regions,6611800,8,528944.0,12,High,8
Food & Beverages,Packaging Materials,Glass Containers,Risk Mitigation,Dual-source all critical categories,6611800,5,330590.0,18,High,9
Food & Beverages,Proteins,Beef,Aggressive Diversification,Reduce top supplier share to <30%,15083000,15,2262450.0,25,High,5
Food & Beverages,Proteins,Beef,Moderate Diversification,Reduce top supplier share to <40%,15083000,10,1508300.0,15,High,4
Food & Beverages,Proteins,Beef,Regional Expansion,Add Africa/Middle East suppliers,15083000,12,1809960.0,20,High,6
Food & Beverages,Proteins,Beef,Cost Optimization,Shift 20% spend to low-cost regions,15083000,8,1206640.0,12,Medium,5
Food & Beverages,Proteins,Beef,Risk Mitigation,Dual-source all critical categories,15083000,5,754150.0,18,Low,6
Food & Beverages,Proteins,Poultry,Aggressive Diversification,Reduce top supplier share to <30%,16346000,15,2451900.0,25,High,9
Food & Beverages,Proteins,Poultry,Moderate Diversification,Reduce top supplier share to <40%,16346000,10,1634600.0,15,Medium,11
Food & Beverages,Proteins,Poultry,Regional Expansion,Add Africa/Middle East suppliers,16346000,12,1961520.0,20,High,3
Food & Beverages,Proteins,Poultry,Cost Optimization,Shift 20% spend to low-cost regions,16346000,8,1307680.0,12,Low,9
Food & Beverages,Proteins,Poultry,Risk Mitigation,Dual-source all critical categories,16346000,5,817300.0,18,High,3
Food & Beverages,Proteins,Seafood,Aggressive Diversification,Reduce top supplier share to <30%,8891000,15,1333650.0,25,Low,5
Food & Beverages,Proteins,Seafood,Moderate Diversification,Reduce top supplier share to <40%,8891000,10,889100.0,15,Medium,12
Food & Beverages,Proteins,Seafood,Regional Expansion,Add Africa/Middle East suppliers,8891000,12,1066920.0,20,Medium,4
Food & Beverages,Proteins,Seafood,Cost Optimization,Shift 20% spend to low-cost regions,8891000,8,711280.0,12,Low,7
Food & Beverages,Proteins,Seafood,Risk Mitigation,Dual-source all critical categories,8891000,5,444550.0,18,Low,8
Food & Beverages,Spices & Seasonings,Pepper,Aggressive Diversification,Reduce top supplier share to <30%,7219000,15,1082850.0,25,Low,12
Food & Beverages,Spices & Seasonings,Pepper,Moderate Diversification,Reduce top supplier share to <40%,7219000,10,721900.0,15,Low,9
Food & Beverages,Spices & Seasonings,Pepper,Regional Expansion,Add Africa/Middle East suppliers,7219000,12,866280.0,20,Medium,12
Food & Beverages,Spices & Seasonings,Pepper,Cost Optimization,Shift 20% spend to low-cost regions,7219000,8,577520.0,12,High,11
Food & Beverages,Spices & Seasonings,Pepper,Risk Mitigation,Dual-source all critical categories,7219000,5,360950.0,18,Medium,12
Food & Beverages,Spices & Seasonings,Vanilla,Aggressive Diversification,Reduce top supplier share to <30%,13199100,15,1979865.0,25,Low,5
Food & Beverages,Spices & Seasonings,Vanilla,Moderate Diversification,Reduce top supplier share to <40%,13199100,10,1319910.0,15,High,10
Food & Beverages,Spices & Seasonings,Vanilla,Regional Expansion,Add Africa/Middle East suppliers,13199100,12,1583892.0,20,Medium,3
Food & Beverages,Spices & Seasonings,Vanilla,Cost Optimization,Shift 20% spend to low-cost regions,13199100,8,1055928.0,12,Low,11
Food & Beverages,Spices & Seasonings,Vanilla,Risk Mitigation,Dual-source all critical categories,13199100,5,659955.0,18,Medium,6
Food & Beverages,Sweeteners,Sugar,Aggressive Diversification,Reduce top supplier share to <30%,7101500,15,1065225.0,25,Low,12
Food & Beverages,Sweeteners,Sugar,Moderate Diversification,Reduce top supplier share to <40%,7101500,10,710150.0,15,High,11
Food & Beverages,Sweeteners,Sugar,Regional Expansion,Add Africa/Middle East suppliers,7101500,12,852180.0,20,High,6
Food & Beverages,Sweeteners,Sugar,Cost Optimization,Shift 20% spend to low-cost regions,7101500,8,568120.0,12,High,5
Food & Beverages,Sweeteners,Sugar,Risk Mitigation,Dual-source all critical categories,7101500,5,355075.0,18,High,3
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,Aggressive Diversification,Reduce top supplier share to <30%,12752600,15,1912890.0,25,Medium,6
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,Moderate Diversification,Reduce top supplier share to <40%,12752600,10,1275260.0,15,High,3
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,Regional Expansion,Add Africa/Middle East suppliers,12752600,12,1530312.0,20,Low,4
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,Cost Optimization,Shift 20% spend to low-cost regions,12752600,8,1020208.0,12,Medium,9
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,Risk Mitigation,Dual-source all critical categories,12752600,5,637630.0,18,Medium,9
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,Aggressive Diversification,Reduce top supplier share to <30%,11043500,15,1656525.0,25,Medium,12
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,Moderate Diversification,Reduce top supplier share to <40%,11043500,10,1104350.0,15,Low,11
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,Regional Expansion,Add Africa/Middle East suppliers,11043500,12,1325220.0,20,Low,4
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,Cost Optimization,Shift 20% spend to low-cost regions,11043500,8,883480.0,12,Low,11
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,Risk Mitigation,Dual-source all critical categories,11043500,5,552175.0,18,Medium,11
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,Aggressive Diversification,Reduce top supplier share to <30%,28460900,15,4269135.0,25,High,8
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,Moderate Diversification,Reduce top supplier share to <40%,28460900,10,2846090.0,15,Medium,7
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,Regional Expansion,Add Africa/Middle East suppliers,28460900,12,3415308.0,20,Low,12
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,Cost Optimization,Shift 20% spend to low-cost regions,28460900,8,2276872.0,12,Low,10
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,Risk Mitigation,Dual-source all critical categories,28460900,5,1423045.0,18,Medium,12
Healthcare & Life Sciences,Medical Devices,Implants,Aggressive Diversification,Reduce top supplier share to <30%,10662500,15,1599375.0,25,Low,7
Healthcare & Life Sciences,Medical Devices,Implants,Moderate Diversification,Reduce top supplier share to <40%,10662500,10,1066250.0,15,Low,9
Healthcare & Life Sciences,Medical Devices,Implants,Regional Expansion,Add Africa/Middle East suppliers,10662500,12,1279500.0,20,High,4
Healthcare & Life Sciences,Medical Devices,Implants,Cost Optimization,Shift 20% spend to low-cost regions,10662500,8,853000.0,12,High,4
Healthcare & Life Sciences,Medical Devices,Implants,Risk Mitigation,Dual-source all critical categories,10662500,5,533125.0,18,High,7
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,Aggressive Diversification,Reduce top supplier share to <30%,24004000,15,3600600.0,25,Medium,4
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,Moderate Diversification,Reduce top supplier share to <40%,24004000,10,2400400.0,15,High,7
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,Regional Expansion,Add Africa/Middle East suppliers,24004000,12,2880480.0,20,High,12
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,Cost Optimization,Shift 20% spend to low-cost regions,24004000,8,1920320.0,12,Medium,10
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,Risk Mitigation,Dual-source all critical categories,24004000,5,1200200.0,18,Medium,12
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,Aggressive Diversification,Reduce top supplier share to <30%,11863300,15,1779495.0,25,Medium,6
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,Moderate Diversification,Reduce top supplier share to <40%,11863300,10,1186330.0,15,Medium,10
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,Regional Expansion,Add Africa/Middle East suppliers,11863300,12,1423596.0,20,High,10
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,Cost Optimization,Shift 20% spend to low-cost regions,11863300,8,949064.0,12,High,3
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,Risk Mitigation,Dual-source all critical categories,11863300,5,593165.0,18,Medium,4
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,Aggressive Diversification,Reduce top supplier share to <30%,9743200,15,1461480.0,25,Medium,4
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,Moderate Diversification,Reduce top supplier share to <40%,9743200,10,974320.0,15,Medium,6
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,Regional Expansion,Add Africa/Middle East suppliers,9743200,12,1169184.0,20,High,6
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,Cost Optimization,Shift 20% spend to low-cost regions,9743200,8,779456.0,12,Medium,9
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,Risk Mitigation,Dual-source all critical categories,9743200,5,487160.0,18,Medium,11
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,Aggressive Diversification,Reduce top supplier share to <30%,6206000,15,930900.0,25,High,3
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,Moderate Diversification,Reduce top supplier share to <40%,6206000,10,620600.0,15,High,7
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,Regional Expansion,Add Africa/Middle East suppliers,6206000,12,744720.0,20,Low,7
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,Cost Optimization,Shift 20% spend to low-cost regions,6206000,8,496480.0,12,Low,9
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,Risk Mitigation,Dual-source all critical categories,6206000,5,310300.0,18,High,8
Healthcare & Life Sciences,Medical Supplies,Wound Care,Aggressive Diversification,Reduce top supplier share to <30%,8127100,15,1219065.0,25,Low,11
Healthcare & Life Sciences,Medical Supplies,Wound Care,Moderate Diversification,Reduce top supplier share to <40%,8127100,10,812710.0,15,Low,10
Healthcare & Life Sciences,Medical Supplies,Wound Care,Regional Expansion,Add Africa/Middle East suppliers,8127100,12,975252.0,20,Medium,8
Healthcare & Life Sciences,Medical Supplies,Wound Care,Cost Optimization,Shift 20% spend to low-cost regions,8127100,8,650168.0,12,Low,12
Healthcare & Life Sciences,Medical Supplies,Wound Care,Risk Mitigation,Dual-source all critical categories,8127100,5,406355.0,18,Medium,5
Healthcare & Life Sciences,Pharmaceuticals,Biologics,Aggressive Diversification,Reduce top supplier share to <30%,31882700,15,4782405.0,25,High,6
Healthcare & Life Sciences,Pharmaceuticals,Biologics,Moderate Diversification,Reduce top supplier share to <40%,31882700,10,3188270.0,15,Medium,6
Healthcare & Life Sciences,Pharmaceuticals,Biologics,Regional Expansion,Add Africa/Middle East suppliers,31882700,12,3825924.0,20,Low,6
Healthcare & Life Sciences,Pharmaceuticals,Biologics,Cost Optimization,Shift 20% spend to low-cost regions,31882700,8,2550616.0,12,Medium,6
Healthcare & Life Sciences,Pharmaceuticals,Biologics,Risk Mitigation,Dual-source all critical categories,31882700,5,1594135.0,18,Low,6
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,Aggressive Diversification,Reduce top supplier share to <30%,34287900,15,5143185.0,25,Low,12
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,Moderate Diversification,Reduce top supplier share to <40%,34287900,10,3428790.0,15,Medium,5
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,Regional Expansion,Add Africa/Middle East suppliers,34287900,12,4114548.0,20,Low,4
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,Cost Optimization,Shift 20% spend to low-cost regions,34287900,8,2743032.0,12,Low,10
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,Risk Mitigation,Dual-source all critical categories,34287900,5,1714395.0,18,High,3
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,Aggressive Diversification,Reduce top supplier share to <30%,33976000,15,5096400.0,25,High,3
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,Moderate Diversification,Reduce top supplier share to <40%,33976000,10,3397600.0,15,Medium,8
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,Regional Expansion,Add Africa/Middle East suppliers,33976000,12,4077120.0,20,High,8
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,Cost Optimization,Shift 20% spend to low-cost regions,33976000,8,2718080.0,12,Medium,12
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,Risk Mitigation,Dual-source all critical categories,33976000,5,1698800.0,18,Medium,10
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,Aggressive Diversification,Reduce top supplier share to <30%,38961400,15,5844210.0,25,Low,11
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,Moderate Diversification,Reduce top supplier share to <40%,38961400,10,3896140.0,15,Medium,9
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,Regional Expansion,Add Africa/Middle East suppliers,38961400,12,4675368.0,20,Low,12
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,Cost Optimization,Shift 20% spend to low-cost regions,38961400,8,3116912.0,12,Low,3
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,Risk Mitigation,Dual-source all critical categories,38961400,5,1948070.0,18,High,9
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,Aggressive Diversification,Reduce top supplier share to <30%,23619100,15,3542865.0,25,Medium,11
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,Moderate Diversification,Reduce top supplier share to <40%,23619100,10,2361910.0,15,Low,11
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,Regional Expansion,Add Africa/Middle East suppliers,23619100,12,2834292.0,20,Medium,9
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,Cost Optimization,Shift 20% spend to low-cost regions,23619100,8,1889528.0,12,High,5
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,Risk Mitigation,Dual-source all critical categories,23619100,5,1180955.0,18,Medium,4
Human Resources,HR Technology,Benefits Administration,Aggressive Diversification,Reduce top supplier share to <30%,6129900,15,919485.0,25,High,11
Human Resources,HR Technology,Benefits Administration,Moderate Diversification,Reduce top supplier share to <40%,6129900,10,612990.0,15,Medium,8
Human Resources,HR Technology,Benefits Administration,Regional Expansion,Add Africa/Middle East suppliers,6129900,12,735588.0,20,High,3
Human Resources,HR Technology,Benefits Administration,Cost Optimization,Shift 20% spend to low-cost regions,6129900,8,490392.0,12,Low,6
Human Resources,HR Technology,Benefits Administration,Risk Mitigation,Dual-source all critical categories,6129900,5,306495.0,18,Medium,12
Human Resources,HR Technology,HRIS Systems,Aggressive Diversification,Reduce top supplier share to <30%,3965000,15,594750.0,25,Low,8
Human Resources,HR Technology,HRIS Systems,Moderate Diversification,Reduce top supplier share to <40%,3965000,10,396500.0,15,Medium,12
Human Resources,HR Technology,HRIS Systems,Regional Expansion,Add Africa/Middle East suppliers,3965000,12,475800.0,20,Medium,5
Human Resources,HR Technology,HRIS Systems,Cost Optimization,Shift 20% spend to low-cost regions,3965000,8,317200.0,12,High,7
Human Resources,HR Technology,HRIS Systems,Risk Mitigation,Dual-source all critical categories,3965000,5,198250.0,18,Low,7
Human Resources,HR Technology,Payroll Services,Aggressive Diversification,Reduce top supplier share to <30%,6698100,15,1004715.0,25,Medium,12
Human Resources,HR Technology,Payroll Services,Moderate Diversification,Reduce top supplier share to <40%,6698100,10,669810.0,15,Medium,8
Human Resources,HR Technology,Payroll Services,Regional Expansion,Add Africa/Middle East suppliers,6698100,12,803772.0,20,Low,10
Human Resources,HR Technology,Payroll Services,Cost Optimization,Shift 20% spend to low-cost regions,6698100,8,535848.0,12,Medium,6
Human Resources,HR Technology,Payroll Services,Risk Mitigation,Dual-source all critical categories,6698100,5,334905.0,18,Medium,8
Human Resources,Learning & Development,E-Learning Platforms,Aggressive Diversification,Reduce top supplier share to <30%,6472300,15,970845.0,25,Medium,9
Human Resources,Learning & Development,E-Learning Platforms,Moderate Diversification,Reduce top supplier share to <40%,6472300,10,647230.0,15,Medium,10
Human Resources,Learning & Development,E-Learning Platforms,Regional Expansion,Add Africa/Middle East suppliers,6472300,12,776676.0,20,Low,12
Human Resources,Learning & Development,E-Learning Platforms,Cost Optimization,Shift 20% spend to low-cost regions,6472300,8,517784.0,12,Low,12
