Rule_ID,Rule_Name,Rule_Description,Threshold_Value,Comparison_Logic,Risk_Level,Action_Recommendation,Category
R001,Regional Concentration,If more than 40% of category spend is concentrated in a single region,40%,Spend_Region_Percentage > Threshold,Critical,Diversify sourcing across 3-4 regions minimum to reduce geographic risk,Supply Chain Risk
R002,Tail Spend Fragmentation,If bottom 20% of spend is distributed across too many suppliers,10 suppliers,Low_Spend_Supplier_Count > Threshold,Medium,Consolidate tail spend suppliers from 20 to 5 for 10-20% savings,Cost Management
R003,Single Supplier Dependency,If more than 60% of category spend is with a single supplier,60%,Single_Supplier_Percentage > Threshold,Critical,Qualify 2-3 alternative suppliers to reduce dependency risk,Supply Chain Risk
R004,Contract Expiry Warning,Contracts expiring within 90 days without renewal plan,90 days,Days_To_Expiry < Threshold,High,Initiate contract renewal negotiations immediately,Contract Management
R005,ESG Compliance Score,Supplier ESG score below minimum acceptable threshold,60,Supplier_ESG_Score < Threshold,High,Engage suppliers on ESG improvement or find alternatives,Sustainability
R006,Price Variance Alert,Price deviation exceeds acceptable variance from historical average,15%,Price_Variance_Percentage > Threshold,Medium,Investigate price increase and renegotiate if not justified,Cost Management
R007,Quality Rejection Rate,Supplier quality rejection rate exceeds acceptable threshold,5%,Quality_Rejection_Rate > Threshold,High,Implement enhanced quality controls or supplier development,Quality Assurance
R008,Delivery Performance,On-time delivery rate falls below acceptable threshold,85%,On_Time_Delivery_Rate < Threshold,High,Address delivery issues with supplier or qualify backup,Delivery Performance
R009,Payment Terms Optimization,Payment terms shorter than target for cost optimization,45 days,Average_Payment_Terms < Threshold,Low,Negotiate extended payment terms for working capital improvement,Cost Management
R010,Supplier Financial Risk,Supplier debt-to-equity ratio exceeds risk threshold,2.5,Supplier_Debt_Equity_Ratio > Threshold,Critical,Monitor financial health closely and qualify backup suppliers,Financial Risk
R011,Capacity Utilization Risk,Supplier capacity utilization approaching maximum,90%,Supplier_Capacity_Utilization > Threshold,High,Assess capacity constraints and plan for alternative sources,Supply Chain Risk
R012,Minimum Order Quantity,MOQ represents excessive months of demand,6 months,MOQ_Months_of_Demand > Threshold,Medium,Negotiate lower MOQ or find alternative suppliers,Inventory Management
R013,Lead Time Variance,Lead time variance exceeds acceptable threshold,30%,Lead_Time_Variance_Percentage > Threshold,Medium,Address lead time consistency issues with supplier,Delivery Performance
R014,Currency Exposure,Foreign currency spend exceeds hedging threshold,50%,Foreign_Currency_Spend_Percentage > Threshold,Medium,Implement currency hedging for exposed spend,Financial Risk
R015,Diverse Supplier Spend,Spend with diverse suppliers below target,15%,Diverse_Supplier_Spend_Percentage < Threshold,Low,Increase engagement with minority/women-owned businesses,Sustainability
R016,Innovation Supplier Ratio,Spend with innovative suppliers below target,10%,Innovation_Supplier_Spend_Percentage < Threshold,Low,Identify and engage suppliers with strong R&D capabilities,Innovation
R017,Local Content Requirement,Local content below regulatory or policy requirement,30%,Local_Content_Percentage < Threshold,High,Increase local sourcing to meet requirements,Compliance
R018,Supplier Qualification Gap,Insufficient number of qualified suppliers for category,3 suppliers,Qualified_Supplier_Count < Threshold,High,Accelerate supplier qualification program,Supply Chain Risk
R019,Price Benchmark Deviation,Price exceeds market benchmark by threshold,10%,Price_Benchmark_Deviation > Threshold,Medium,Renegotiate pricing or switch to competitive supplier,Cost Management
R020,Supplier Responsiveness,Supplier response time exceeds acceptable threshold,48 hours,Supplier_Response_Time > Threshold,Low,Address communication issues with supplier,Supplier Relationship
R021,Contract Compliance Rate,Contract compliance rate below acceptable threshold,90%,Contract_Compliance_Rate < Threshold,Medium,Address contract compliance issues with supplier,Contract Management
R022,Inventory Turnover,Inventory turnover below efficient threshold,6,Inventory_Turnover < Threshold,Medium,Optimize inventory levels and supplier delivery frequency,Inventory Management
R023,Supplier Concentration Index,Herfindahl-Hirschman Index exceeds concentration threshold,2500,Herfindahl_Index > Threshold,High,Diversify supplier base to reduce concentration risk,Supply Chain Risk
R024,Geopolitical Risk Exposure,Spend in high-risk geopolitical regions exceeds threshold,40%,High_Risk_Country_Spend > Threshold,Critical,Limit exposure and develop alternative sources,Geopolitical Risk
R025,Cybersecurity Rating,Supplier cybersecurity rating below minimum,B rating,Supplier_Cyber_Rating < Threshold,High,Require cybersecurity improvements or limit data sharing,Cybersecurity
R026,Certification Compliance,Percentage of certified suppliers below requirement,100%,Certified_Suppliers_Percentage < Threshold,High,Ensure all suppliers maintain required certifications,Compliance
R027,Audit Frequency,Time since last supplier audit exceeds threshold,12 months,Months_Since_Last_Audit > Threshold,Medium,Schedule supplier audit immediately,Compliance
R028,Price Escalation Clause,Contract lacks price protection clause,5% annual max,Price_Escalation_Cap = None,Medium,Negotiate price escalation caps in contract renewal,Contract Management
R029,Backup Supplier Availability,Critical categories without qualified backup supplier,1 supplier,Backup_Supplier_Count < Threshold,Critical,Qualify at least one backup supplier for critical categories,Supply Chain Risk
R030,Innovation Score,Supplier innovation score below target for strategic categories,60,Supplier_Innovation_Score < Threshold,Low,Engage suppliers on innovation roadmap or find alternatives,Innovation
R031,Carbon Footprint,Supplier carbon footprint exceeds sustainability target,1000 kg CO2/unit,Carbon_Footprint > Threshold,Medium,Work with supplier on carbon reduction or find greener alternatives,Sustainability
R032,Ethical Sourcing Compliance,Suppliers without ethical sourcing certification,100%,Ethical_Certified_Suppliers < Threshold,High,Require ethical certifications (SA8000 Fair Trade) from all suppliers,Compliance
R033,Tail Spend Consolidation,Number of low-spend suppliers exceeds efficient threshold,20 suppliers,Low_Spend_Supplier_Count > Threshold,Low,Consolidate to 5 preferred suppliers for operational efficiency,Cost Management
R034,Long-term Contract Coverage,Strategic spend without long-term contract coverage,3 years,Average_Contract_Duration < Threshold,Medium,Negotiate long-term agreements for strategic categories,Contract Management
R035,Supplier Performance Score,Composite supplier performance score below threshold,75,Supplier_Performance_Score < Threshold,High,Implement supplier development program or replace underperformers,Supplier Relationship
